title,price
Apple iPhone 13 (128GB) - Starlight,"₹45,490"
Apple iPhone 13 (128GB) - Midnight,"₹45,490"
Apple iPhone 13 (128GB) - Blue,"₹45,490"
Apple iPhone 13 (128GB) - Green,"₹45,490"
Apple iPhone 15 (128 GB) - Blue,"₹64,900"
Apple iPhone 14 (128 GB) - Midnight,"₹54,990"
Apple iPhone 15 (128 GB) - Black,"₹64,900"
Apple iPhone 15 Plus (128 GB) - Black,"₹69,900"
Apple iPhone 14 (128 GB) - Blue,"₹55,990"
Apple iPhone 13 (128GB) - (Product) RED,"₹45,490"
Apple iPhone 14 (128 GB) - Purple,"₹55,990"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine","₹77,400"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink","₹77,400"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; White","₹77,400"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","₹77,400"
Apple iPhone 15 (256 GB) - Blue,"₹75,900"
